cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,fecha_reseña,producto_categoria,reseña_id,texto_reseña,longitud_reseña,cluster_clientes,cluster_reseñas
19,56.0,12140.46,766.29,3.0,105.0,móvil,50.0,2024-06-01,hogar,19.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,27,4.0
20,5.0,3688.31,421.09,314.0,200.0,móvil,8.0,2024-03-16,salud,20.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,18,1.0
21,45.0,15047.64,126.54,51.0,174.0,marketplace,10.0,2024-09-23,electronica,21.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas ..,15,10,5.0
22,56.0,3951.53,9.73,148.0,79.0,marketplace,29.0,2023-03-03,alimentos,22.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,24,0.0
23,37.0,4488.91,164.55,90.0,35.0,móvil,41.0,2023-07-14,electronica,23.0,la interfaz es intuitiva yyy el dispositivo responde bien en tareas comunes yyy prolongadas,14,15,5.0
24,13.0,4460.15,820.69,64.0,108.0,móvil,19.0,2024-12-03,servicios,24.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,12,1.0
25,42.0,2668.77,1355.77,37.0,111.0,marketplace,7.0,2024-01-13,servicios,25.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,12,1.0
26,71.0,19895.25,1050.5,116.0,118.0,marketplace,11.0,2023-06-03,educacion,26.0,el contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido,14,19,2.0
27,43.0,8271.54,1004.76,324.0,105.0,móvil,9.0,2024-10-11,salud,27.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica ..,14,5,5.0
28,97.0,19856.9,781.23,17.0,155.0,marketplace,39.0,2024-01-12,electronica,28.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,22,5.0
29,28.0,1588.82,1097.23,134.0,189.0,móvil,42.0,2024-12-22,servicios,29.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,9,1.0
30,97.0,18985.79,1071.1,52.0,76.0,marketplace,9.0,2023-07-23,salud,30.0,la  atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,19,1.0
31,73.0,5250.44,800.5,65.0,118.0,marketplace,46.0,2025-12-07,salud,31.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,27,1.0
32,30.0,16704.74,486.95,49.0,188.0,tienda física,46.0,2025-02-09,salud,32.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,10,5.0
33,42.0,12801.28,535.85,283.0,116.0,marketplace,30.0,2024-01-24,hogar,33.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,26,4.0
34,53.0,15675.88,1038.18,337.0,118.0,móvil,31.0,2023-01-16,alimentos,34.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,21,0.0
35,77.0,9926.66,445.29,276.0,238.0,móvil,34.0,2024-09-26,electronica,35.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,26,5.0
36,93.0,16337.29,395.56,346.0,4.0,móvil,13.0,2025-12-05,electronica,36.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,21,5.0
37,58.0,2400.42,952.95,107.0,196.0,tienda física,47.0,2025-06-30,salud,37.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,25,5.0
38,48.0,12662.3,932.62,248.0,62.0,tienda física,1.0,2025-03-20,ropa,38.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,5,3.0
39,62.0,14160.19,886.19,345.0,29.0,call center,24.0,2025-04-25,hogar,39.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,21,4.0
40,91.0,16371.69,781.23,294.0,52.0,marketplace,23.0,2024-01-14,salud,40.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo ..,16,21,1.0
41,69.0,17659.86,179.39,44.0,87.0,web,13.0,2025-06-23,electronica,41.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,11,5.0
42,19.0,10682.67,64.42,166.0,218.0,call center,34.0,2023-04-29,salud,42.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,18,5.0
43,37.0,8887.29,470.77,320.0,126.0,marketplace,14.0,2023-11-26,electronica,43.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,5,5.0
44,67.0,13513.03,233.2,247.0,183.0,marketplace,29.0,2024-04-10,alimentos,44.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,26,0.0
45,98.0,9030.94,565.04,108.0,113.0,web,35.0,2023-04-18,alimentos,45.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,27,3.0
46,35.0,8526.91,73.17,346.5,115.0,web,23.0,2024-09-02,alimentos,46.0,el producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario,15,26,0.0
47,57.0,7364.94,867.52,312.0,98.0,call center,32.0,2025-09-08,hogar,47.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,13,4.0
48,11.0,10388.75,1246.22,331.0,29.0,call center,7.0,2023-04-13,hogar,48.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,5,4.0
49,6.0,328.82,1382.29,33.0,106.0,web,35.0,2025-03-17,electronica,49.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,12,5.0
50,74.0,8335.03,762.26,133.0,100.0,call center,43.0,2024-02-06,electronica,50.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,27,5.0
51,31.0,16459.67,1271.78,159.0,240.0,marketplace,30.0,2025-03-27,alimentos,51.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,16,3.0
52,51.0,16933.2,403.96,35.0,192.0,call center,16.0,2023-06-27,hogar,52.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,10,4.0
53,76.0,18268.75,1031.22,19.0,70.0,web,32.0,2024-02-06,electronica,53.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,27,5.0
54,53.0,14435.89,2.97,239.0,218.0,móvil,40.0,2023-06-25,alimentos,54.0,el producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario,15,26,0.0
55,51.0,11562.57,725.25,188.0,129.0,tienda física,33.0,2025-02-06,ropa,55.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,26,4.0
56,81.0,16423.92,866.24,344.0,97.0,móvil,46.0,2025-04-28,hogar,56.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,21,4.0
57,22.0,11204.4,236.47,296.0,228.0,marketplace,27.0,2024-01-13,alimentos,57.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,26,0.0
58,62.0,1399.66,758.55,89.0,22.0,web,37.0,2025-05-24,salud,58.0,las instalaciones están limpias yyy el personal explica los procedimientos de forma básica,13,27,5.0
59,33.0,5855.25,1308.49,75.0,208.0,call center,2.0,2025-09-18,educacion,59.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,12,2.0
60,44.0,8343.2,85.5,6.0,78.0,tienda física,39.0,2025-10-10,educacion,60.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,15,2.0
61,45.0,19363.92,1152.63,74.0,118.0,móvil,8.0,2023-03-27,alimentos,61.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,19,3.0
62,34.0,17993.29,1264.85,317.0,104.0,call center,30.0,2024-03-13,electronica,62.0,la interfaz es intuitiva yyy el dispositivo responde bien en tareas comunes yyy prolongadas,14,0,5.0
63,36.0,1936.25,806.69,330.0,118.0,marketplace,8.0,2024-04-13,electronica,63.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario ..,17,5,5.0
64,81.0,18362.35,376.07,251.0,151.0,tienda física,31.0,2024-09-13,alimentos,64.0,el sabor es aceptable yyy la textura resulta agradable aunque esperaba mayor frescura,13,3,3.0
65,9.0,18685.04,1233.41,38.0,41.0,call center,39.0,2024-03-25,educacion,65.0,el contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido,14,6,2.0
66,39.0,10388.75,1170.63,174.0,215.0,call center,49.0,2024-02-16,educacion,66.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,16,2.0
67,2.0,10056.76,240.16,240.0,136.0,móvil,26.0,2025-07-26,educacion,67.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,18,2.0
68,53.0,10460.7,153.03,135.0,20.0,marketplace,22.0,2023-10-02,servicios,68.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,11,1.0
69,43.0,16987.49,1023.34,153.0,219.0,marketplace,24.0,2025-02-17,servicios,69.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,16,1.0
70,6.0,962.98,322.78,319.0,166.0,call center,26.0,2024-07-28,electronica,70.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,18,5.0
71,83.0,11243.79,1463.84,81.0,118.0,móvil,10.0,2024-01-30,educacion,71.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,19,2.0
72,0.0,7460.86,899.71,197.0,150.0,call center,31.0,2023-10-12,educacion,72.0,el contenido educativo es comprensible y muuy estructurado aunque el ritmo es algo rápido,14,1,2.0
73,91.0,12273.95,792.27,153.0,176.0,web,26.0,2024-11-06,educacion,73.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,7,2.0
74,59.0,1076.76,555.26,86.0,100.0,tienda física,26.0,2025-01-11,alimentos,74.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura ..,14,15,3.0
75,8.0,15705.05,43.32,229.0,208.0,call center,11.0,2025-02-22,electronica,75.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,4,5.0
76,49.0,15772.54,16.62,124.0,8.0,tienda física,8.0,2023-11-16,ropa,76.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,11,4.0
77,56.0,18672.36,781.23,80.0,238.0,web,32.0,2025-08-12,electronica,77.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,22,5.0
78,62.0,4122.58,143.76,20.0,190.0,móvil,48.0,2023-06-19,alimentos,78.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,14,3.0
79,46.0,10388.75,1466.69,109.0,189.0,web,43.0,2025-02-18,servicios,79.0,el servicio fue adecuado con tiempos razonables aunq la atención podría ser más clara,14,25,1.0
80,43.0,12127.98,1307.95,299.0,215.0,móvil,9.0,2023-11-06,salud,80.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,4,1.0
81,21.0,5638.87,412.8,146.0,184.0,web,25.0,2024-12-03,electronica,81.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas ..,15,18,5.0
82,91.0,7141.4,817.64,44.0,76.0,call center,25.0,2024-09-27,educacion,82.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido,14,27,2.0
83,95.0,19019.2,750.75,27.0,105.0,tienda física,30.0,2023-03-13,ropa,83.0,la prenda es cómoda y la tela se siente agradable aunq la talla puede variar un poco,17,22,4.0
84,25.0,864.07,665.53,19.0,8.0,web,4.0,2024-11-24,hogar,84.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,15,4.0
85,18.0,3.54,1353.24,346.5,204.0,tienda física,49.0,2024-10-14,educacion,85.0,el contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido ..,15,9,2.0
86,4.0,16493.49,959.6,99.0,38.0,call center,50.0,2023-07-12,salud,86.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,6,5.0
87,87.0,17351.64,1067.68,168.0,187.0,móvil,2.0,2024-04-29,hogar,87.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,7,4.0
88,39.0,10861.28,1363.26,9.0,5.0,web,38.0,2023-10-28,electronica,88.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,6,5.0
89,28.0,8543.8,1169.19,261.0,84.0,móvil,43.0,2025-01-02,servicios,89.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,1,1.0
90,65.0,10388.75,1461.84,100.0,21.0,call center,35.0,2025-05-31,ropa,90.0,el  diseño es atractivo y el color coincide con lo esperado después de varios usos,15,27,3.0
91,36.0,2579.1,1152.9,197.0,124.0,call center,46.0,2023-11-28,alimentos,91.0,el  sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,9,3.0
92,54.0,2368.61,718.98,183.0,16.0,tienda física,47.0,2025-09-15,electronica,92.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,24,5.0
93,9.0,19733.23,987.2,287.0,236.0,móvil,24.0,2024-11-02,alimentos,93.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,4,0.0
94,65.0,3948.61,327.23,142.0,125.0,móvil,12.0,2024-03-02,servicios,94.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,15,1.0
95,21.0,15062.96,981.88,270.0,213.0,marketplace,17.0,2025-08-05,educacion,95.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,4,2.0
96,54.0,17467.27,1075.38,68.0,172.0,call center,38.0,2024-05-11,ropa,96.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,22,3.0
97,2.0,10921.29,359.35,230.0,24.0,web,20.0,2024-09-14,ropa,97.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,20,4.0
98,97.0,3849.26,1297.75,263.0,110.0,móvil,44.0,2025-07-12,alimentos,98.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,13,0.0
99,16.0,18606.88,278.87,8.0,131.0,marketplace,12.0,2025-02-11,ropa,99.0,la prenda es cómoda yyy la tela se siente agradable aunque la talla puede variar un poco,17,10,4.0
100,23.0,6069.65,347.64,337.0,84.0,call center,14.0,2024-09-05,educacion,100.0,el contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido,14,5,2.0
101,24.0,15728.23,892.24,333.0,128.0,marketplace,30.0,2023-08-11,alimentos,101.0,el sabor es aceptable yyy la textura resulta agradable aunque esperaba mayor frescura,13,0,3.0
102,90.0,9834.06,1486.94,148.0,141.0,tienda física,2.0,2023-04-06,ropa,102.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,8,4.0
103,77.0,966.09,223.87,117.0,230.0,tienda física,46.0,2023-10-07,servicios,103.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,14,1.0
104,6.0,5012.34,898.76,346.5,140.0,web,30.0,2025-03-01,servicios,104.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,9,1.0
105,54.0,14960.29,102.25,323.0,232.0,marketplace,31.0,2024-10-25,alimentos,105.0,el  sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,26,3.0
106,88.0,15536.78,343.14,219.0,39.0,marketplace,10.0,,servicios,106.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,11,1.0
107,1.0,16214.67,781.23,260.0,56.0,móvil,43.0,2025-07-29,servicios,107.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,1,1.0
108,64.0,7336.5,224.6,27.0,149.0,tienda física,45.0,2024-07-21,salud,108.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,14,1.0
109,84.0,10307.8,1149.07,1.0,153.0,tienda física,15.0,2025-11-29,ropa,109.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,7,3.0
110,43.0,8108.29,1228.54,197.0,209.0,tienda física,17.0,2025-01-05,hogar,110.0,cumple su función en casa yyy ayuda a mantener el espacio organizado sin complicaciones,14,8,4.0
111,39.0,15454.49,111.56,48.0,157.0,móvil,31.0,2023-01-08,ropa,111.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos,15,10,3.0
112,7.0,8344.91,813.17,346.5,59.0,call center,34.0,2025-06-28,salud,112.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,1,5.0
113,69.0,10388.75,1358.11,249.0,178.0,web,32.0,2024-01-01,hogar,113.0,el  artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,13,4.0
114,7.0,14336.49,557.72,115.0,64.0,móvil,9.0,2024-07-02,servicios,114.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,20,1.0
115,6.0,9741.4,666.94,97.0,180.0,web,46.0,2025-10-23,servicios,115.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,1,1.0
116,94.0,8138.8,861.74,187.0,171.0,call center,37.0,2025-07-04,alimentos,116.0,el producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,13,0.0
117,10.0,9285.85,821.94,231.0,137.0,tienda física,49.0,2025-02-11,electronica,117.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,1,5.0
118,72.0,1981.71,781.23,256.0,36.0,tienda física,27.0,2025-05-31,servicios,118.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,17,1.0
119,6.0,8774.28,69.96,133.0,134.0,marketplace,21.0,2023-01-26,salud,119.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,18,1.0
120,63.0,5805.01,1003.81,151.0,118.0,móvil,1.0,2023-01-01,servicios,120.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,8,1.0
121,69.0,11452.94,298.37,71.0,122.0,marketplace,9.0,2024-06-21,hogar,121.0,el artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales,17,11,4.0
122,89.0,2520.22,477.0,79.0,84.0,marketplace,39.0,2023-11-14,educacion,122.0,el contenido educativo es comprensible yyy bien estructurado aunque el ritmo es algo rápido,14,14,2.0
123,98.0,13409.12,642.66,27.0,227.0,web,3.0,2024-06-07,servicios,123.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,7,1.0
124,65.0,677.33,61.62,304.0,176.0,marketplace,27.5,2023-10-25,alimentos,124.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,2,3.0
125,8.0,18093.79,444.72,289.0,29.0,móvil,2.0,2024-03-22,ropa,125.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,20,4.0
126,82.0,15066.26,1086.56,232.0,116.0,marketplace,27.0,2025-10-10,ropa,126.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,21,4.0
127,80.0,17989.66,838.83,199.0,200.0,tienda física,16.0,2024-01-02,hogar,127.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,7,4.0
128,10.0,7037.45,965.86,322.0,0.0,móvil,33.0,2023-10-24,alimentos,128.0,el  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,0,0.0
129,67.0,11509.6,470.11,40.0,153.0,web,29.0,2024-12-26,educacion,129.0,la metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente,17,22,2.0
130,45.0,782.51,338.98,54.0,220.0,call center,43.0,2024-05-04,hogar,130.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones ..,15,14,4.0
131,79.0,12584.62,10.0,346.5,216.0,call center,15.0,2023-11-14,salud,131.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,23,1.0
132,77.0,96.5,1249.05,346.5,181.0,call center,2.0,2023-10-09,hogar,132.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,8,4.0
133,88.0,4171.88,449.01,206.0,240.0,call center,47.0,2023-07-05,hogar,133.0,el artículo para el hogar es funcional y fácil de usar aunq los materiales se sienten normales,17,2,4.0
134,14.0,2323.8,493.08,126.0,57.0,call center,42.0,2025-09-02,alimentos,134.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,1,3.0
135,51.0,7747.29,437.94,208.0,89.0,call center,30.0,2024-11-25,salud,135.0,las instalaciones están limpias y el personal explica los procedimientos de forma básica,13,24,5.0
136,75.0,11167.87,1398.14,89.0,173.0,móvil,42.0,2024-06-18,ropa,136.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,25,4.0
137,71.0,587.42,1437.77,24.0,161.0,tienda física,34.0,2025-10-29,salud,137.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,25,1.0
138,92.0,18529.42,998.56,75.0,47.0,web,3.0,2023-05-29,ropa,138.0,el diseño es atractivo y el color coincide con lo esperado después de varios usos ..,16,19,3.0
139,63.0,10388.75,1446.08,93.0,45.0,call center,28.0,2024-02-12,servicios,139.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,27,1.0
140,50.0,17927.72,1109.02,74.0,170.0,móvil,22.0,2023-09-17,salud,140.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,7,1.0
141,54.0,4225.23,1022.01,346.5,111.0,call center,44.0,2024-05-09,servicios,141.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,13,1.0
142,20.0,19637.25,365.04,139.0,32.0,call center,17.0,2023-12-14,electronica,142.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,20,5.0
143,87.0,18697.7,293.06,256.0,130.0,marketplace,41.0,2023-03-31,electronica,143.0,este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario,16,3,5.0
144,69.0,18015.5,200.9,346.5,208.0,tienda física,3.0,2025-02-10,servicios,144.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,23,1.0
145,37.0,1707.2,1124.95,77.0,65.0,marketplace,13.0,2025-08-31,servicios,145.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,12,1.0
146,2.0,9221.96,780.58,272.0,169.0,marketplace,22.0,2024-01-20,salud,146.0,la atención en salud fue profesional aunque el tiempo de espera resultó un poco largo,15,4,1.0
147,33.0,9199.07,804.34,194.0,119.0,móvil,28.0,2023-07-27,ropa,147.0,la prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco,17,1,4.0
148,86.0,1010.04,483.54,271.0,212.0,tienda física,46.0,2024-03-02,alimentos,148.0,el  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario,15,2,0.0
149,96.0,7944.88,1072.86,102.0,117.0,call center,13.0,2024-04-11,salud,149.0,la atención en salud fue profesional aunq el tiempo de espera resultó un poco largo,15,7,1.0
150,12.0,13820.28,712.8,251.0,201.0,tienda física,32.0,2023-12-04,servicios,150.0,el servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara,14,16,1.0
151,54.0,813.18,10.51,77.0,131.0,tienda física,24.0,2024-05-27,servicios,151.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso,12,14,1.0
152,72.0,4151.79,587.78,217.0,206.0,call center,46.0,2025-04-06,hogar,152.0,cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones,14,2,4.0
153,21.0,6056.12,597.65,307.0,137.0,tienda física,13.0,2023-10-08,alimentos,153.0,el producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario,15,5,0.0
154,2.0,8601.37,258.56,17.0,110.0,tienda física,47.0,2024-09-30,servicios,154.0,la experiencia general fue correcta pero hubo pequeños retrasos durante el proceso ..,13,10,1.0
155,57.0,11235.13,1449.88,254.0,178.0,móvil,4.0,2024-09-13,electronica,155.0,la interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas,14,8,5.0
156,21.0,17876.75,1083.82,149.0,239.0,móvil,25.0,2025-06-11,alimentos,156.0,el sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura,13,16,3.0
